Week,Day,Date,Time,Team1,Team2,logo1,logo2
14,Mon,10-Dec,8:15PM,Minnesota Vikings,Seattle Seahawks,minnesota-vikings,seattle-seahawks
15,Thu,13-Dec,8:20PM,Los Angeles Chargers,Kansas City Chiefs,los-angeles-chargers,kansas-city-chiefs
15,Sat,15-Dec,4:30PM,Houston Texans,New York Jets,houston-texans,new-york-jets
15,Sat,15-Dec,8:20PM,Cleveland Browns,Denver Broncos,cleveland-browns,denver-broncos
15,Sun,16-Dec,1:00PM,Tennessee Titans,New York Giants,tennessee-titans,new-york-giants
15,Sun,16-Dec,1:00PM,Tampa Bay Buccaneers,Baltimore Ravens,tampa-bay-buccaneers,baltimore-ravens
15,Sun,16-Dec,1:00PM,Detroit Lions,Buffalo Bills,detroit-lions,buffalo-bills
15,Sun,16-Dec,1:00PM,Dallas Cowboys,Indianapolis Colts,dallas-cowboys,indianapolis-colts
15,Sun,16-Dec,1:00PM,Oakland Raiders,Cincinnati Bengals,oakland-raiders,cincinnati-bengals
15,Sun,16-Dec,1:00PM,Washington Redskins,Jacksonville Jaguars,washington-redskins,jacksonville-jaguars
15,Sun,16-Dec,1:00PM,Green Bay Packers,Chicago Bears,green-bay-packers,chicago-bears
15,Sun,16-Dec,1:00PM,Arizona Cardinals,Atlanta Falcons,arizona-cardinals,atlanta-falcons
15,Sun,16-Dec,1:00PM,Miami Dolphins,Minnesota Vikings,miami-dolphins,minnesota-vikings
15,Sun,16-Dec,4:05PM,Seattle Seahawks,San Francisco 49ers,seattle-seahawks,san-francisco-49ers
15,Sun,16-Dec,4:25PM,New England Patriots,Pittsburgh Steelers,new-england-patriots,pittsburgh-steelers
15,Sun,16-Dec,8:20PM,Philadelphia Eagles,Los Angeles Rams,philadelphia-eagles,los-angeles-rams
15,Mon,17-Dec,8:15PM,New Orleans Saints,Carolina Panthers,new-orleans-saints,carolina-panthers
16,Sat,22-Dec,4:30PM,Washington Redskins,Tennessee Titans,washington-redskins,tennessee-titans
16,Sun,23-Dec,1:00PM,Baltimore Ravens,Los Angeles Chargers,baltimore-ravens,los-angeles-chargers
16,Sun,23-Dec,1:00PM,Houston Texans,Philadelphia Eagles,houston-texans,philadelphia-eagles
16,Sun,23-Dec,1:00PM,Atlanta Falcons,Carolina Panthers,atlanta-falcons,carolina-panthers
16,Sun,23-Dec,1:00PM,Jacksonville Jaguars,Miami Dolphins,jacksonville-jaguars,miami-dolphins
16,Sun,23-Dec,1:00PM,Tampa Bay Buccaneers,Dallas Cowboys,tampa-bay-buccaneers,dallas-cowboys
16,Sun,23-Dec,1:00PM,Minnesota Vikings,Detroit Lions,minnesota-vikings,detroit-lions
16,Sun,23-Dec,1:00PM,New York Giants,Indianapolis Colts,new-york-giants,indianapolis-colts
16,Sun,23-Dec,1:00PM,Buffalo Bills,New England Patriots,buffalo-bills,new-england-patriots
16,Sun,23-Dec,1:00PM,Cincinnati Bengals,Cleveland Browns,cincinnati-bengals,cleveland-browns
16,Sun,23-Dec,1:00PM,Green Bay Packers,New York Jets,green-bay-packers,new-york-jets
16,Sun,23-Dec,4:05PM,Chicago Bears,San Francisco 49ers,chicago-bears,san-francisco-49ers
16,Sun,23-Dec,4:05PM,Los Angeles Rams,Arizona Cardinals,los-angeles-rams,arizona-cardinals
16,Sun,23-Dec,4:25PM,Pittsburgh Steelers,New Orleans Saints,pittsburgh-steelers,new-orleans-saints
16,Sun,23-Dec,8:20PM,Kansas City Chiefs,Seattle Seahawks,kansas-city-chiefs,seattle-seahawks
16,Mon,24-Dec,8:15PM,Denver Broncos,Oakland Raiders,denver-broncos,oakland-raiders
17,Sun,30-Dec,1:00PM,Carolina Panthers,New Orleans Saints,carolina-panthers,new-orleans-saints
17,Sun,30-Dec,1:00PM,Miami Dolphins,Buffalo Bills,miami-dolphins,buffalo-bills
17,Sun,30-Dec,1:00PM,Cleveland Browns,Baltimore Ravens,cleveland-browns,baltimore-ravens
17,Sun,30-Dec,1:00PM,Chicago Bears,Minnesota Vikings,chicago-bears,minnesota-vikings
17,Sun,30-Dec,1:00PM,Detroit Lions,Green Bay Packers,detroit-lions,green-bay-packers
17,Sun,30-Dec,1:00PM,Atlanta Falcons,Tampa Bay Buccaneers,atlanta-falcons,tampa-bay-buccaneers
17,Sun,30-Dec,1:00PM,Dallas Cowboys,New York Giants,dallas-cowboys,new-york-giants
17,Sun,30-Dec,1:00PM,Oakland Raiders,Kansas City Chiefs,oakland-raiders,kansas-city-chiefs
17,Sun,30-Dec,1:00PM,Jacksonville Jaguars,Houston Texans,jacksonville-jaguars,houston-texans
17,Sun,30-Dec,1:00PM,Indianapolis Colts,Tennessee Titans,indianapolis-colts,tennessee-titans
17,Sun,30-Dec,1:00PM,Philadelphia Eagles,Washington Redskins,philadelphia-eagles,washington-redskins
17,Sun,30-Dec,1:00PM,Cincinnati Bengals,Pittsburgh Steelers,cincinnati-bengals,pittsburgh-steelers
17,Sun,30-Dec,1:00PM,New York Jets,New England Patriots,new-york-jets,new-england-patriots
17,Sun,30-Dec,4:25PM,Arizona Cardinals,Seattle Seahawks,arizona-cardinals,seattle-seahawks
17,Sun,30-Dec,4:25PM,Los Angeles Chargers,Denver Broncos,los-angeles-chargers,denver-broncos
